fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2017-Q3,2. NOA-Resto,1056072,124863,17350,28316,1003679,18792,2433104,43.40430988564402,5.131839822712058,0.7130809040632871,1.1637809152424228,41.25096995442858,0.7723467636401897
2017-Q3,3. La Rioja,92084,11480,282,1122,89279,0,205762,44.7526754211176,5.579261476851896,0.13705154498887065,0.5452901896365704,43.38944994702618,0
2017-Q4,1. Resto país,9510139,1333269,49016,38240,8939317,176546,24982973,38.06648231977835,5.336710726941905,0.19619762627930631,0.15306424899870805,35.78163815811673,0.706665295599527
2017-Q4,2. NOA-Resto,1079258,118523,10987,14191,1021693,27849,2438835,44.25301424655624,4.8598203650513465,0.45050198147886183,0.5818761826855855,41.89266596551222,1.1418976683539477
2017-Q4,3. La Rioja,89649,10094,541,1106,83863,2466,206692,43.373231668376135,4.883594914171812,0.2617421090317961,0.5350956979467033,40.573897393222765,1.1930795579896658
2018-Q1,1. Resto país,9601671,1216597,65955,54601,9018888,217313,25047647,38.33362471133516,4.857130891376743,0.2633181472095962,0.21798854000138215,36.00692711774483,0.8675984614443025
2018-Q1,2. NOA-Resto,1085856,124263,6119,12237,1038831,13177,2444581,44.41890041688126,5.083202397466069,0.25030874411606735,0.5005765814264285,42.495257878548514,0.5390289787902303
2018-Q1,3. La Rioja,84056,11489,734,0,76940,1241,207754,40.45938947023884,5.530098096787547,0.3533024634904743,0,37.03418466070449,0.5973410860922052
2018-Q2,1. Resto país,9616215,1046291,68578,46848,9130972,203851,25109796,38.29666716527685,4.166863800884722,0.27311253345108816,0.18657260297933126,36.364182329478105,0.8118385350482338
2018-Q2,2. NOA-Resto,1083491,150963,14810,26234,993480,26921,2450134,44.221703792527265,6.161418110193156,0.6044567358356727,1.0707169485424062,40.54798635503201,1.0987562312918395
