fecha,REGION,AGLOMERADO,la_rioja_region,desoc,pea,tasa_desoc
2018-Q4,Cuyo,Gran San Juan,1. Resto país,6284,203489,3.088127613777649
2018-Q4,Cuyo,San Luis - El Chorrillo,1. Resto país,2757,99539,2.769768633399974
2018-Q4,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,109694,1584356,6.923570207705844
2018-Q4,Gran Buenos Aires,Partidos del GBA,1. Resto país,644277,5630577,11.442468507224039
2018-Q4,Nordeste,Corrientes,1. Resto país,11502,159086,7.230051670165823
2018-Q4,Nordeste,Formosa,1. Resto país,3273,89679,3.649683872478507
2018-Q4,Nordeste,Gran Resistencia,1. Resto país,2415,147031,1.6425107630363665
2018-Q4,Nordeste,Posadas,1. Resto país,5877,161781,3.632688634635711
2018-Q4,Noroeste,Gran Catamarca,2. NOA-Resto,8650,99601,8.684651760524492
2018-Q4,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,29942,396410,7.553290784793522
2018-Q4,Noroeste,Jujuy - Palpala,2. NOA-Resto,10499,154671,6.787956371911993
2018-Q4,Noroeste,La Rioja,3. La Rioja,4243,90409,4.693116835713259
2018-Q4,Noroeste,S. del Estero - La Banda,2. NOA-Resto,7803,170578,4.574446880605939
2018-Q4,Noroeste,Salta,2. NOA-Resto,26529,298215,8.895930788189728
2018-Q4,Pampeana,Bahia Blanca - Cerri,1. Resto país,13360,142854,9.352205748526469
2018-Q4,Pampeana,Concordia,1. Resto país,2395,48068,4.982524756594824
2018-Q4,Pampeana,Gran Cordoba,1. Resto país,68350,744150,9.184976147282134
2018-Q4,Pampeana,Gran La Plata,1. Resto país,23186,408016,5.682620289400416
2018-Q4,Pampeana,Gran Parana,1. Resto país,5193,92302,5.626096942644796
2018-Q4,Pampeana,Gran Rosario,1. Resto país,77836,609744,12.765357264688133
