fecha,REGION,AGLOMERADO,la_rioja_region,mayor_25_superior,pob_tot,porc_mayor_25_superior
2016-Q3,Noroeste,Jujuy - Palpala,2. NOA-Resto,63664,333706,19.077870940288758
2016-Q3,Noroeste,La Rioja,3. La Rioja,34404,202181,17.0164357679505
2016-Q3,Noroeste,S. del Estero - La Banda,2. NOA-Resto,54250,379550,14.29324199710183
2016-Q3,Noroeste,Salta,2. NOA-Resto,99899,606152,16.480849687867067
2016-Q3,Pampeana,Bahia Blanca - Cerri,1. Resto país,57771,307603,18.781026192852476
2016-Q3,Pampeana,Concordia,1. Resto país,12375,109017,11.351440601007184
2016-Q3,Pampeana,Gran Cordoba,1. Resto país,301698,1525276,19.779895572997937
2016-Q3,Pampeana,Gran La Plata,1. Resto país,195200,855219,22.824563065133024
2016-Q3,Pampeana,Gran Parana,1. Resto país,42873,218108,19.656775542391845
2016-Q3,Pampeana,Gran Rosario,1. Resto país,240567,1289165,18.660683465654124
2016-Q3,Pampeana,Gran Santa Fe,1. Resto país,88358,517222,17.08318671672899
2016-Q3,Pampeana,Mar del Plata - Batan,1. Resto país,123007,623499,19.728499965517184
2016-Q3,Pampeana,Rio Cuarto,1. Resto país,31540,172112,18.3252765640978
2016-Q3,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,25119,184904,13.584887292865485
2016-Q3,Pampeana,Santa Rosa - Toay,1. Resto país,19262,122805,15.685029111192542
2016-Q3,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,33977,218046,15.582491767792117
2016-Q3,Patagonica,Neuquen - Plottier,1. Resto país,41499,292039,14.210088378606967
2016-Q3,Patagonica,Rawson - Trelew,1. Resto país,16372,135530,12.079982291743525
2016-Q3,Patagonica,Rio Gallegos,1. Resto país,16732,113087,14.795688275398586
2016-Q3,Patagonica,Ushuaia - Rio Grande,1. Resto país,26859,150046,17.90051051011023
2016-Q3,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,16863,87834,19.198715759273174
2016-Q4,Cuyo,Gran Mendoza,1. Resto país,201368,936224,21.508527873671255
2016-Q4,Cuyo,Gran San Juan,1. Resto país,72890,498924,14.609439513833768
2016-Q4,Cuyo,San Luis - El Chorrillo,1. Resto país,37294,222845,16.73539904417869
2016-Q4,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1088197,2923933,37.216892452734044
2016-Q4,Gran Buenos Aires,Partidos del GBA,1. Resto país,1581265,11856231,13.336995542681313
2016-Q4,Nordeste,Corrientes,1. Resto país,75448,368769,20.45942039596604
2016-Q4,Nordeste,Formosa,1. Resto país,31528,242817,12.984263869498427
2016-Q4,Nordeste,Gran Resistencia,1. Resto país,53690,383384,14.004235961855477
2016-Q4,Nordeste,Posadas,1. Resto país,59664,355051,16.804346417838563
2016-Q4,Noroeste,Gran Catamarca,2. NOA-Resto,34436,213651,16.117874477535796
2016-Q4,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,155608,878747,17.707940965943553
2016-Q4,Noroeste,Jujuy - Palpala,2. NOA-Resto,67067,334703,20.0377648243368
2016-Q4,Noroeste,La Rioja,3. La Rioja,31681,203138,15.595801868680404
2016-Q4,Noroeste,S. del Estero - La Banda,2. NOA-Resto,60834,380620,15.982870054122223
2016-Q4,Noroeste,Salta,2. NOA-Resto,105345,608111,17.32331761800066
2016-Q4,Pampeana,Bahia Blanca - Cerri,1. Resto país,62552,308103,20.30230150306878
2016-Q4,Pampeana,Concordia,1. Resto país,13620,109118,12.481900328085192
2016-Q4,Pampeana,Gran Cordoba,1. Resto país,292480,1527834,19.143440975917542
2016-Q4,Pampeana,Gran La Plata,1. Resto país,192315,857785,22.419953718006262
2016-Q4,Pampeana,Gran Parana,1. Resto país,43711,218470,20.007781388749027
2016-Q4,Pampeana,Gran Rosario,1. Resto país,241356,1291453,18.68871728200717
2016-Q4,Pampeana,Gran Santa Fe,1. Resto país,94822,518409,18.29096331275113
2016-Q4,Pampeana,Mar del Plata - Batan,1. Resto país,123609,624763,19.784942450177105
2016-Q4,Pampeana,Rio Cuarto,1. Resto país,31166,172406,18.07709708478823
2016-Q4,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,30173,185196,16.29246851983844
2016-Q4,Pampeana,Santa Rosa - Toay,1. Resto país,17143,123002,13.937171753304826
2016-Q4,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,35412,219171,16.157247081046304
2016-Q4,Patagonica,Neuquen - Plottier,1. Resto país,40663,293113,13.872806733239399
2016-Q4,Patagonica,Rawson - Trelew,1. Resto país,19653,136029,14.447654544251593
2016-Q4,Patagonica,Rio Gallegos,1. Resto país,18630,113715,16.383062920459043
2016-Q4,Patagonica,Ushuaia - Rio Grande,1. Resto país,32679,150983,21.644158613883683
2016-Q4,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,14509,88132,16.46280579131303
2017-Q1,Cuyo,Gran Mendoza,1. Resto país,191313,937900,20.398016846145644
2017-Q1,Cuyo,Gran San Juan,1. Resto país,76271,500131,15.250204446435035
2017-Q1,Cuyo,San Luis - El Chorrillo,1. Resto país,33875,223623,15.148262924654441
2017-Q1,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1158761,2926889,39.590192863480645
2017-Q1,Gran Buenos Aires,Partidos del GBA,1. Resto país,1480894,11895274,12.449431597792534
2017-Q1,Nordeste,Corrientes,1. Resto país,78934,369673,21.352384404595412
2017-Q1,Nordeste,Formosa,1. Resto país,31079,243464,12.765336969736799
2017-Q1,Nordeste,Gran Resistencia,1. Resto país,56913,383974,14.822097329506686
2017-Q1,Nordeste,Posadas,1. Resto país,56870,356298,15.961358188931737
2017-Q1,Noroeste,Gran Catamarca,2. NOA-Resto,41580,214550,19.380097879282218
2017-Q1,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,138270,880223,15.708519318399997
2017-Q1,Noroeste,Jujuy - Palpala,2. NOA-Resto,69932,335420,20.849084729592747
2017-Q1,Noroeste,La Rioja,3. La Rioja,33622,204009,16.480645461719824
2017-Q1,Noroeste,S. del Estero - La Banda,2. NOA-Resto,43770,381324,11.478427793687258
2017-Q1,Noroeste,Salta,2. NOA-Resto,107788,610089,17.667586204635715
2017-Q1,Pampeana,Bahia Blanca - Cerri,1. Resto país,62113,308455,20.136810880031124
2017-Q1,Pampeana,Concordia,1. Resto país,13206,109080,12.106710671067107
2017-Q1,Pampeana,Gran Cordoba,1. Resto país,298494,1530500,19.503038222803006
2017-Q1,Pampeana,Gran La Plata,1. Resto país,195280,860385,22.696815960296842
2017-Q1,Pampeana,Gran Parana,1. Resto país,42649,218671,19.50372934682697
2017-Q1,Pampeana,Gran Rosario,1. Resto país,239507,1293438,18.51708392671315
2017-Q1,Pampeana,Gran Santa Fe,1. Resto país,96348,519469,18.547401288623576
2017-Q1,Pampeana,Mar del Plata - Batan,1. Resto país,110521,626224,17.648796596744933
2017-Q1,Pampeana,Rio Cuarto,1. Resto país,34895,172780,20.1962032642667
2017-Q1,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,28189,185501,15.196144495177924
2017-Q1,Pampeana,Santa Rosa - Toay,1. Resto país,18170,123449,14.718628745473838
2017-Q1,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,34877,220357,15.827498105347232
2017-Q1,Patagonica,Neuquen - Plottier,1. Resto país,36398,294122,12.37513684797465
2017-Q1,Patagonica,Rawson - Trelew,1. Resto país,21903,136292,16.070642444164
2017-Q1,Patagonica,Rio Gallegos,1. Resto país,18221,114326,15.93775694067841
2017-Q1,Patagonica,Ushuaia - Rio Grande,1. Resto país,25606,151961,16.85037608333717
2017-Q1,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,16593,88646,18.71827268009837
2017-Q2,Cuyo,Gran Mendoza,1. Resto país,173997,939597,18.51825835970102
2017-Q2,Cuyo,Gran San Juan,1. Resto país,85932,501258,17.1432675388722
2017-Q2,Cuyo,San Luis - El Chorrillo,1. Resto país,35044,224542,15.60687978195616
2017-Q2,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1075335,2929898,36.702130927424776
2017-Q2,Gran Buenos Aires,Partidos del GBA,1. Resto país,1513006,11933183,12.678980955877407
2017-Q2,Nordeste,Corrientes,1. Resto país,76783,370393,20.73014338823898
2017-Q2,Nordeste,Formosa,1. Resto país,32501,244407,13.297900632960594
2017-Q2,Nordeste,Gran Resistencia,1. Resto país,65514,384517,17.03799831997025
2017-Q2,Nordeste,Posadas,1. Resto país,61202,357413,17.123607703133352
2017-Q2,Noroeste,Gran Catamarca,2. NOA-Resto,44788,215026,20.829109037976803
2017-Q2,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,140895,881542,15.982789248838966
2017-Q2,Noroeste,Jujuy - Palpala,2. NOA-Resto,71629,336139,21.309339291186085
2017-Q2,Noroeste,La Rioja,3. La Rioja,36723,205012,17.91260999356135
2017-Q2,Noroeste,S. del Estero - La Banda,2. NOA-Resto,56890,382231,14.883669822698838
2017-Q2,Noroeste,Salta,2. NOA-Resto,111950,611877,18.296160829709237
2017-Q2,Pampeana,Bahia Blanca - Cerri,1. Resto país,59999,308924,19.421929018140386
2017-Q2,Pampeana,Concordia,1. Resto país,12665,109412,11.575512740832815
2017-Q2,Pampeana,Gran Cordoba,1. Resto país,292222,1532833,19.064177245662115
2017-Q2,Pampeana,Gran La Plata,1. Resto país,170999,862809,19.81887068864604
2017-Q2,Pampeana,Gran Parana,1. Resto país,45428,218915,20.75143320466848
2017-Q2,Pampeana,Gran Rosario,1. Resto país,221592,1295512,17.104588764905305
2017-Q2,Pampeana,Gran Santa Fe,1. Resto país,94004,520390,18.06414419954265
2017-Q2,Pampeana,Mar del Plata - Batan,1. Resto país,123652,627522,19.704807162139335
2017-Q2,Pampeana,Rio Cuarto,1. Resto país,37159,173132,21.462814499919137
2017-Q2,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,24887,185786,13.395519576286697
2017-Q2,Pampeana,Santa Rosa - Toay,1. Resto país,19985,123707,16.155108441721165
2017-Q2,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,33963,221565,15.32868458465913
2017-Q2,Patagonica,Neuquen - Plottier,1. Resto país,44138,295163,14.95377130602413
2017-Q2,Patagonica,Rawson - Trelew,1. Resto país,20344,136791,14.872323471573424
2017-Q2,Patagonica,Rio Gallegos,1. Resto país,16637,114973,14.470353909178677
2017-Q2,Patagonica,Ushuaia - Rio Grande,1. Resto país,27406,152955,17.917688208950345
2017-Q2,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,16492,89025,18.525133389497334
2017-Q3,Cuyo,Gran Mendoza,1. Resto país,196558,941319,20.881125314585173
2017-Q3,Cuyo,Gran San Juan,1. Resto país,87061,502397,17.329124178687373
2017-Q3,Cuyo,San Luis - El Chorrillo,1. Resto país,35483,225491,15.73588302859094
2017-Q3,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1067981,2932693,36.41639271481877
2017-Q3,Gran Buenos Aires,Partidos del GBA,1. Resto país,1701244,11972151,14.210011216864874
2017-Q3,Nordeste,Corrientes,1. Resto país,77045,371084,20.76214549805435
2017-Q3,Nordeste,Formosa,1. Resto país,32303,244916,13.189420046056608
2017-Q3,Nordeste,Gran Resistencia,1. Resto país,57549,385113,14.94340622103123
2017-Q3,Nordeste,Posadas,1. Resto país,65982,358495,18.40527761893471
2017-Q3,Noroeste,Gran Catamarca,2. NOA-Resto,37937,215841,17.576364082820223
2017-Q3,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,150201,883137,17.00766698711525
2017-Q3,Noroeste,Jujuy - Palpala,2. NOA-Resto,63606,337012,18.87351192242413
2017-Q3,Noroeste,La Rioja,3. La Rioja,37488,205762,18.219107512563056
2017-Q3,Noroeste,S. del Estero - La Banda,2. NOA-Resto,67686,383081,17.668848102620593
2017-Q3,Noroeste,Salta,2. NOA-Resto,117233,614033,19.092296342378994
2017-Q3,Pampeana,Bahia Blanca - Cerri,1. Resto país,63668,309479,20.57263982370371
2017-Q3,Pampeana,Concordia,1. Resto país,14333,109407,13.100624274497976
2017-Q3,Pampeana,Gran Cordoba,1. Resto país,296284,1535351,19.297476603069917
2017-Q3,Pampeana,Gran La Plata,1. Resto país,171962,865455,19.869548387842233
2017-Q3,Pampeana,Gran Parana,1. Resto país,45617,219071,20.822929552519504
